airport,location
Perth Airport,Texas
Tisdale Airport,Ontario
Tasu Water Aerodrome,Saskatchewan
Telegraph Creek Airport,British Columbia
Yangzhou Taizhou Airport,British Columbia
Billy Bishop Toronto City Airport,Taizhou
Yuanmou Air Base,Ontario
Tuktoyaktuk/James Gruben Airport,Yunnan
Umiujaq Airport,Northwest Territories
Yuendumu Airport,Quebec
Montréal–Trudeau International Airport,Northern Territory
Yuma International Airport,Quebec
MCAS Yuma,Arizona
Yushu Batang Airport,Qinghai
Repulse Bay Airport,Nunavut
Hall Beach Airport,Nunavut
Rouyn-Noranda Airport,Quebec
Iconi Airport,Comoros
Bonaventure Airport,Quebec
La Ronge (Barber Field) Airport,Saskatchewan
Miyako Airport,Indonesia
Maymana Airport,Democratic Republic of the Congo
Melangguane Airport,Mozambique
Muanda Airport,Colombia
Nacala Airport,South Australia
Medina Airport,Fiji
Mungeranie Airport,Northern Territory
Mana Island Airport,Oman
Maningrida Airport,Montserrat
Al-Musannah Airport,Madagascar
John A. Osborne Airport,Kiribati
Mananjary Airport,Philippines
Maiana Airport,Michigan
Ninoy Aquino International Airport,Ohio
Villamor Air Base,Democratic Republic of the Congo
Menominee-Marinette Twin County Airport,Papua New Guinea
Marion Municipal Airport,Queensland
Bosset Airport,Papua New Guinea
Bourges Airport,Florida
Boang Island Airport,Northern Territory
Bartow Municipal Airport,Burkina Faso
Borroloola Airport,Central African Republic
Bobo Dioulasso Airport,Papua New Guinea
Bozoum Airport,Cameroon
Boridi Airport,Papua New Guinea
Bamenda Airport,Hebei
Bapi Airport,Solomon Islands
Qinhuangdao Beidaihe Airport,Mato Grosso
Batuna Airport,Philippines
Barra do Garças Airport,Wyoming
Bislig Airport,Papua New Guinea
Miley Memorial Field,Xinjiang
Biangabip Airport,Telangana
Bole Alashankou Airport,Indonesia
Begumpet Airport,Bahia
Longreach Airport,Arkansas
Little Rock Air Force Base,Pakistan
Loralai Airport,Poitou-Charentes
La Rochelle – Île de Ré Airport,Colombia
Lorica Airport,Iowa
Le Mars Municipal Airport,Togo
Niamtougou International Airport,Dominican Republic
La Romana International Airport,Manitoba
Laurie River Airport,Iran
Larestan International Airport,Greece
Leros Municipal Airport,Brittany
Lorient South Brittany Airport,New Mexico
Las Cruces International Airport,Venezuela
Los Roques Airport,Papua New Guinea
Losuia Airport,New Mexico
Lordsburg Municipal Airport,Chile
La Florida Airport,Wisconsin
La Crosse Regional Airport,Columbus
King Khalid Air Base,Kostroma Oblast
Moser Bay Seaplane Base,Saudi Arabia
Kaoma Airport,Alaska
Viña del Mar Airport,Zambia
Kanab Municipal Airport,Chile
Kindu Airport,Utah
Kanainj Airport,Democratic Republic of the Congo
RAF Marham,Papua New Guinea
Kaimana Airport,England
Kinmen Airport,Indonesia
Katanning Airport,Taiwan
Kindamba Airport,Western Australia
Kokhanok Airport,Republic of the Congo
Kelanoa Airport,Alaska
Kaniama Airport,Papua New Guinea
Kankan Airport,Democratic Republic of the Congo
Kualanamu International Airport,Guinea
Kapanda Airport,Indonesia
Jalaluddin Airport,Czech Republic
Grants Pass Airport,Pennsylvania
Golden Triangle Regional Airport,Tanzania
The Granites Airport,Guatemala
Georgetown Airport,Baja California Sur
Holešov Airport,Colorado
Tarakbits Airport,Papua New Guinea
Juwata International Airport,Indonesia
Terrell Municipal Airport,Texas
Jacqueline Cochran Regional Airport,California
Turin Airport,Piedmont
Taree Airport,New South Wales
José Galera dos Santos Airport,Acre
China Bay Airport,Sri Lanka
Trieste – Friuli Venezia Giulia Airport,Friuli-Venezia Giulia
FAP Captain Carlos Martínez de Pinillos International Airport,Peru
Trivandrum International Airport,Kerala
Bonriki International Airport,Kiribati
Trenton Municipal Airport,Missouri
Tororo Airport,Uganda
Tiruchirappalli International Airport,Tamil Nadu
Taipei Songshan Airport,Taiwan
Tsumeb Airport,Namibia
Taisha Airport,Ecuador
Tshipise Airport,South Africa
Solomon State Field Airport,Venezuela
San Tomé Airport,Vanuatu
Santo-Pekoa International Airport,Sweden
Söderhamn Airport,Southern Pines
Moore County Airport,Indonesia
Dominique Edward Osok Airport,Finland
Sodankylä Airfield,England
Southampton Airport,Alaska
Seldovia Airport,Arizona
Show Low Regional Airport,Colombia
Alberto Lleras Camargo Airport,Scotland
Stronsay Airport,Corsica
Solenzara Air Base,South Carolina
Spartanburg Downtown Memorial Airport,United States Virgin Islands
Charlotte Amalie Harbor Seaplane Base,Canary Islands
La Palma Airport,Bangladesh
Saidpur Airport,Sabah
Sepulot Airport,South Dakota
Black Hills Airport,Florida
Assab International Airport,Andros Island
Ashgabat International Airport,Colorado
Ascención de Guarayos Airport,Astrakhan Oblast
Andros Town International Airport,New Zealand
Aspen–Pitkin County Airport,New Hampshire
Narimanovo Airport,British Overseas Territory
Ashburton Aerodrome,Satsunan Islands
Nashua Airport,Côte d'Ivoire
RAF Ascension Island,Texas
Amami Airport,Eritrea
Yamoussoukro Airport,Alabama
Harrison County Airport,Ethiopia
Asmara International Airport,Northern Territory
Talladega Municipal Airport,Nevada
Asosa Airport,Turkey
Alice Springs Airport,Oregon
Austin Airport,Paraguay
Catarman National Airport,Santa Fe
Corcoran Airport,Texas
Corpus Christi International Airport,Arkansas
Caravelas Airport,Grenada
Ceres Airport,Calabria
C. David Campbell Field,West Virginia
Z. M. Jack Stell Field,Mississippi
Lauriston Airport,Western Australia
Crotone Airport,Turkmenistan
Yeager Airport,Scotland
Roscoe Turner Airport,Romania
Carlton Hill Airport,Costa Rica
Turkmenabat Airport,Northern Territory
Colonsay Airport,Colorado
Caransebeș Airport,Picardy
Cañas Mojica Airport,Georgia
Cresswell Downs Airport,Arkhangelsk Oblast
Portsmouth International Airport at Pease,Colombia
Palestine Municipal Airport,California
Antonio Nariño Airport,Pennsylvania
Palm Springs International Airport,Abruzzo
Philadelphia Seaplane Base,Misiones
Abruzzo Airport,Indonesia
Libertador General José de San Martín Airport,Scotland
Pangsuma Airport,Minas Gerais
Papa Stour Airstrip,Texas
Passos Airport,British Overseas Territory
Palacios Municipal Airport,Bolivia
Port Stanley Airport,Alaska
Puerto Suárez International Airport,Virginia
Port Alsworth Airport,Alaska
Dinwiddie County Airport,Alaska
Yeva Airport,Papua New Guinea
Vernon Regional Airport,British Columbia
Vermilion Airport,Alberta
Qikiqtarjuaq Airport,Nunavut
Cape Dyer Airport,Nunavut
Val-d'Or Airport,Quebec
Kuujjuaq Airport,Quebec
Norman Wells Airport,Northwest Territories
Vancouver International Airport,British Columbia
Buffalo Narrows Airport,Saskatchewan
Wiarton Airport,Ontario
Deer Lake Airport,Ontario
Petawawa Airport,Ontario
Kangiqsujuaq (Wakeham Bay) Airport,Quebec
Winnipeg James Armstrong Richardson International Airport,Manitoba
Victoria Harbour Water Airport,British Columbia
Déline Airport,Northwest Territories
Manono Airport,Zambia
Maron Island Airport,Zambia
Monto Airport,Alaska
Mongu Airport,Myanmar
Mansa Airport,Northern Territory
Minto Al Wright Airport,Northern Territory
Mawlamyaing Airport,Amazonas
Mount Valley Airport,Treasury Islands
MacDonald Downs Airport,Virginia
Manicoré Airport,Cuba
Mono Airport,Alabama
Manassas Regional Airport,Minas Gerais
Orestes Acosta Airport,California
Mobile Regional Airport,Myanmar
Montes Claros/Mário Ribeiro Airport,Indonesia
Sultan Aji Muhammad Sulaiman Airport,Port Arthur
Porto Seguro Airport,Tibet Autonomous Region
Jack Brooks Regional Airport,Madagascar
Qamdo Bamda Airport,Philippines
Besalampy Airport,Western Australia
Dr. Juan C. Angara Airport,Guinea-Bissau
Busselton Margaret River Airport,Khabarovsk Krai
Bubaque Airport,Biggin Hill
Bogorodskoye Airport,Namibia
London Biggin Hill Airport,Yakutia
Bagani Airport,Georgia
Batagay Airport,Queensland
Brunswick Golden Isles Airport,Puerto Rico
Boulia Airport,Ivory Coast
Rafael Hernández Airport,Bahia
Tehini Airport,Amur Oblast
Barra Airport,Belarus
Lawson Army Airfield,Myanmar
Lashio Airport,Scotland
Sumburgh Airport,Papua New Guinea
Long Island Airport,Wyoming
Lusk Municipal Airport,Costa Rica
Los Chiles Airport,Sarawak
Long Semado Airport,California
Los Banos Municipal Airport,Pays de la Loire
Les Sables-d'Olonne – Talmont Airport,Venezuela
Josefa Camejo International Airport,Chile
Maria Dolores Airport,Îles des Saintes
Les Saintes Airport,Tasmania
Launceston Airport,Sarawak
Long Sukang Airport,Nevada
Nellis Air Force Base,Indonesia
Malikus Saleh Airport,Indonesia
Lhok Sukon Airport,New South Wales
Koné Airport,Angola
Jam Airport,New Caledonia
King Island Airport,Iran
Kennett Memorial Airport,Tasmania
Kanpur Airport,Missouri
New Stuyahok Airport,Uttar Pradesh
East Kimberley Regional Airport,Alaska
Kéniéba Airport,Western Australia
Kona International Airport at Keāhole,Mali
Koumac Airport,Kona
Kotabangun Airport,New Caledonia
El Tari Airport,Indonesia
Komatipoort Airport,Indonesia
Khong Island Airport,South Africa
Koolatah Airport,Laos
Kirkwall Airport,Queensland
Kagoshima Airport,Scotland
Gettysburg Regional Airport,Mali
Kirawira B Airstrip,Papua New Guinea
La Aurora International Airport,Alabama
Guerrero Negro Airport,Papua New Guinea
Gunnison–Crested Butte Regional Airport,New South Wales
Goundam Airport,Venezuela
Guriaso Airport,São Paulo
Jack Edwards Airport,New South Wales
Guari Airport,Guam
Gunnedah Airport,New Mexico
Güiria Airport,Venezuela
Guaratinguetá Airport,Papua New Guinea
Goulburn Airport,Indiana
Antonio B. Won Pat International Airport,North Rhine-Westphalia
Gallup Municipal Airport,Iceland
Guanare Airport,Papua New Guinea
Astana International Airport,Kazakhstan
Treviso-Sant'Angelo Airport,Venice
Tanacross Airport,Alaska
Tshikapa Airport,Democratic Republic of the Congo
Tsile Tsile Airport,Papua New Guinea
Tsushima Airport,Tsushima Island
Taskul Airport,Papua New Guinea
Tamuín National Airport,San Luis Potosí
Taos Regional Airport,New Mexico
Tianjin Binhai International Airport,California
Tehachapi Municipal Airport,Rio Grande do Sul
Torres Airport,Romania
Timișoara Traian Vuia International Airport,Thailand
Trang Airport,Kiribati
Albert Whitted Airport,Papua New Guinea
Sopu Airport,Illinois
Abraham Lincoln Capital Airport,Greece
Sparti Airport,Hokkaido
Spangdahlem Air Base,Rhineland-Palatinate
Saipan International Airport,Northern Mariana Islands
Menongue Airport,Angola
John Greif II Airport,Belize
Wichita Falls Municipal Airport,Texas
Sipitang Airstrip,Sabah
Split Airport,Croatia
Sepik Plains Airport,Papua New Guinea
Spencer Municipal Airport,Iowa
San Pédro Airport,Ivory Coast
Sphinx International Airport,Egypt
Springdale Municipal Airport,Arkansas
Santa Ynez Airport,California
Santa Ana Airport,Colombia
Southern Cross Airport,Western Australia
Erkilet International Airport,Kenya
Astoria Regional Airport,Egypt
Silvio Pettirossi International Airport,Wisconsin
Amboseli Airport,North Dakota
Aswan International Airport,Papua New Guinea
John F. Kennedy Memorial Airport,Peru
Ashley Municipal Airport,Sudan
Asirim Airport,Cat Island
Comandante FAP Germán Arias Graziani Airport,Malaita
Atbara Airport,Oklahoma
Arthur's Town Airport,Ecuador
Uru Harbour Airport,Pakistan
Antlers Municipal Airport,Greece
Chachoan Airport,Uruguay
PAF Base Minhas,Madagascar
Athens International Airport,Alaska
Artigas International Airport,Georgia
Buckhorn Ranch Airport,New South Wales
Creil Air Base,Senegal
Columbus Airport,Oklahoma
Solovki Airport,Nevada
Casino Airport,Saxony-Anhalt
Cap Skirring Airport,Iowa
Clinton-Sherman Airport,Colombia
Carson Airport,Mato Grosso do Sul
Magdeburg–Cochstedt Airport,Mamanuca Islands
Creston Municipal Airport,Rio Grande do Sul
Casuarito Airport,Tennessee
Cassilândia Airport,Hunan
Castaway Island Seaplane Base,Chuvashia
Santa Cruz do Sul Airport,Buenos Aires
Crossville Memorial-Whitson Field,Sicily
Changsha Huanghua International Airport,Montana
Port Alice Seaplane Base,Fiji
Port Alexander Seaplane Base,South Africa
Malolo Lailai Airport,Alaska
Polokwane International Airport,Victoria
Port Heiden Airport,Michigan
Portland Airport,Venezuela
Oakland County International Airport,Louisiana
Palmarito Airport,Paraná
Harry P. Williams Memorial Airport,Guadeloupe
Juvenal Loureiro Cardoso Airport,Pará
Pointe-à-Pitre International Airport,Kansas
Porto de Moz Airport,Kansas
Atkinson Municipal Airport,Alaska
Pratt Regional Airport,California
Platinum Airport,Pennsylvania
Porterville Municipal Airport,Colombia
Heritage Field,Panama
Wabush Airport,Newfoundland and Labrador
Williams Lake Airport,British Columbia
Williams Harbour Airport,Newfoundland and Labrador
Webequie Airport,Ontario
Chutes-des-Passes/Lac Margane Water Aerodrome,Quebec
White River Water Aerodrome,Ontario
Whistler/Green Lake Water Aerodrome,British Columbia
Wrigley Airport,Northwest Territories
Cranbrook/Canadian Rockies International Airport,British Columbia
Edmonton City Centre (Blatchford Field) Airport,Alberta
Saskatoon John G. Diefenbaker International Airport,Saskatchewan
Medicine Hat Airport,Alberta
Fort St. John Airport,British Columbia
Rimouski Airport,Quebec
Sioux Lookout Airport,Ontario
Whale Cove Airport,Nunavut
Modesto City–County Airport,Myanmar
Momeik Airport,Indonesia
Frans Seda Airport,Cook Islands
Monghsat Airport,Suriname
Maleo Airport,Norway
Mitiaro Airport,Mauritania
Moengo Airstrip,New Zealand
"Molde Airport, Årø",South Australia
Letfotar Airport,Michigan
Mount Cook Aerodrome,Madagascar
Moomba Airport,Tennessee
Mount Pleasant Municipal Airport,Alaska
Morondava Airport,North Dakota
Morristown Regional Airport,Alaska
Moses Point Airport,Queensland
Minot International Airport,Minnesota
Ignatyevo Airport,Saint Vincent and the Grenadines
Brest Airport,Alaska
J. F. Mitchell Airport,Western Australia
Bartlett Cove Seaplane Base,Bahia
Balgo Hill Airport,Maranhão
Barreiras Airport,Río Negro
Barreirinhas Airport,Minnesota
San Carlos de Bariloche Airport,Bremen
Brainerd Lakes Regional Airport,Papua New Guinea
Bremen Airport,Apulia
Brahman Airport,Victoria
Bari Karol Wojtyła Airport,New South Wales
Bright Airport,Iowa
Bourke Airport,Venezuela
Southeast Iowa Regional Airport,Switzerland
Jacinto Lara International Airport,Texas
Lismore Airport,Croatia
Lošinj Airport,South Africa
Tzaneen Airport,Tasmania
Latrobe Airport,Chad
Laï Airport,Libya
Ghadames Airport,Papua New Guinea
Leitre Airport,Nepal
Langtang Airport,Mongolia
Altai Airport,Syria
Bassel Al-Assad International Airport,Gabon
Lastourville Airport,Guyana
Lethem Airport,England
Luton Airport,Baja California Sur
Loreto International Airport,Queensland
Lyndhurst Airport,Nord-Pas-de-Calais
Le Touquet – Côte d'Opale Airport,Ireland
Letterkenny Airfield,Oklahoma
Kokkola-Pietarsaari Airport,Kyushu
Koumala Airport,Jakobstad
Komo-Manda Airport,Central African Republic
Kontum Airport,Papua New Guinea
Kongolo Airport,Vietnam
Nakhon Phanom Airport,Democratic Republic of the Congo
Köthen Airport,Thailand
Kakoro Airport,Saxony-Anhalt
Sihanoukville International Airport,Papua New Guinea
Kotlik Airport,Cambodia
Koulamoutou Airport,Alaska
Kokshetau Airport,Gabon
Ganzhou Huangjin Airport,Kazakhstan
Kokonao Airport,Jiangxi
Olga Bay Seaplane Base,Indonesia
Ouzinkie Airport,Alaska
Gurney Airport,Kazakhstan
Grissom Air Reserve Base,Madhya Pradesh
RAF Gütersloh,Oklahoma
Grundarfjörður Airport,Espírito Santo
Mougulu Airport,Switzerland
Atyrau Airport,Virginia
Guna Airport,Papua New Guinea
Guymon Municipal Airport,Georgia
Guarapari Airport,Khabarovsk Krai
Geneva Airport,Queensland
Gordonsville Municipal Airport,Minas Gerais
Green River Airport,Texas
Lee Gilmer Memorial Airport,Sweden
Sovetskaya Gavan Airport,Myanmar
Greenvale Airport,Pakistan
Coronel Altino Machado de Oliveira Airport,Zimbabwe
Tabiteuea South Airport,Queensland
Townsville Airport,Papua New Guinea
Tsewi Airport,West Java
Tasikmalaya Airport,Indonesia
Tanjung Santan Airport,Mongolia
Tsetserleg Airport,Morocco
Tan Tan Airport,Sardinia
Tortolì Airport,Chile
Las Breas Airport,Oregon
Portland–Troutdale Airport,Indonesia
Sultan Babullah Airport,Salta
"Tartagal ""General Enrique Mosconi"" Airport",Oman
RAFO Thumrait,Society Islands
Tetiaroa Airport,Honshu
Tottori Airport,Fiji
Turtle Island Seaplane Base,Colombia
Tablón de Tamará Airport,New Jersey
Shangrao Sanqingshan Airport,Jiangxi
San Luis de Palenque Airport,Colombia
Tebelian Airport,Indonesia
Nà Sản Airport,Vietnam
Whiteside County Airport,Rock Falls
Sanming Shaxian Airport,Fujian
Sidi Barrani Airport,Egypt
San Carlos Airport,California
São Miguel do Araguaia Airport,Goiás
Sanana Airport,Indonesia
Storuman Airport,Sweden
Šiauliai International Airport,Lithuania
Soroako Airport,Indonesia
Matthew Spain Airport,Belize
China Strait Airstrip,Papua New Guinea
Saposoa Airport,Peru
Sequim Valley Airport,Washington
Antsirabe Airport,Pará
Atqasuk Edward Burnell Sr. Memorial Airport,Papua New Guinea
Hartsfield–Jackson Atlanta International Airport,Albany
Altamira Airport,Papua New Guinea
Namatanai Airport,Punjab
Ohio University Airport,Mauritania
Aitape Airstrip,New Mexico
Sri Guru Ram Dass Jee International Airport,Alaska
Atar International Airport,Alaska
Artesia Municipal Airport,Chad
Atmautluak Airport,Wisconsin
Casco Cove Coast Guard Station,Kazakhstan
Ati Airport,South Dakota
Appleton International Airport,Egypt
Atbasar Airport,Kingdom of the Netherlands
Watertown Regional Airport,Colombia
Assiut Airport,Queensland
Queen Beatrix International Airport,Egypt
Santiago Pérez Quiroz Airport,Burgundy
Cheboksary Airport,Catamarca
Brigadier Hector Eduardo Ruiz Airport,Panama
Catania–Fontanarossa Airport,Panama
Cut Bank Municipal Airport,Guatemala
Coronel Felipe Varela International Airport,Colombia
Chitré Alonso Valderrama Airport,Pennsylvania
Cartí Airport,Angola
Coatepeque Airport,South Dakota
Rafael Núñez International Airport,Queensland
Chester County G. O. Carlson Airport,Quintana Roo
Cuito Cuanavale Airport,Queensland
Canton Municipal Airport,New York
Charleville Airport,Maranhão
Chetumal International Airport,Rio Grande do Sul
Cooktown Airport,Northern Territory
Calverton Executive Airpark,Hokkaido
Carutapera Airport,Provence-Alpes-Côte d'Azur
Contador Airport,Ecuador
Tocumen International Airport,Papua New Guinea
Río Amazonas Airport,Colorado
Puas Airport,Utah
Pueblo Memorial Airport,Santa Cruz
Carbon County Regional Airport,Panama
Puerto Deseado Airport,Aquitaine
Puerto Obaldia Airport,South Australia
Pau Pyrénées Airport,Papua New Guinea
Port Augusta Airport,Dominican Republic
Pureni Airport,Tuamotus
Punta Cana International Airport,Washington
Pukarua Airport,Indonesia
Port of Poulsbo Marina Moorage Seaplane Base,Democratic Republic of the Congo
Sangia Nibandera Airport,Burkina Faso
Punia Airport,Chile
Pô Airport,Bolivia
Presidente Carlos Ibáñez del Campo International Airport,South Korea
Puerto Rico Airport,Andhra Pradesh
Pangnirtung Airport,Nunavut
Beaver Creek Airport,Yukon
Earlton (Timiskaming Regional) Airport,Ontario
Prince George Airport,British Columbia
Northwest Regional Airport,British Columbia
London International Airport,Ontario
Abbotsford International Airport,British Columbia
Erik Nielsen Whitehorse International Airport,Yukon
Wawa Airport,Ontario
Yueyang Sanhe Airport,Hunan
North Bay/Jack Garland Airport,Ontario
Calgary International Airport,Alberta
Smithers Airport,British Columbia
Northern Rockies Regional Airport,British Columbia
Penticton Regional Airport,British Columbia
Charlottetown Airport,Prince Edward Island
Taloyoak Airport,Nunavut
Rivers Airport,Manitoba
Mountain Village Airport,Colombia
Moranbah Airport,Windward Islands
Morris Municipal Airport,Namibia
Monterrey Airport,Florida
Moorea Airport,Indonesia
Katima Mulilo Airport,Pakistan
Miami Seaplane Base,Papua New Guinea
Mukomuko Airport,Papua New Guinea
Sindhri Airport,Philippines
Mapoda Airport,Panama
Makini Airport,Arkansas
Godofredo P. Ramos Airport,Languedoc-Roussillon
Mamitupu Airport,Mozambique
Petit Jean Park Airport,Falkland Islands
Montpellier–Méditerranée Airport,Pennsylvania
Maputo International Airport,Panama
Bern Airport,Papua New Guinea
Brownsville/South Padre Island International Airport,Czech Republic
Biaru Airport,Scotland
Brno–Tuřany Airport,England
Barra Airport,Northern Territory
Bristol Airport,Belgium
Bathurst Island Airport,Bremen
Brussels Airport,Alaska
Bremerhaven Airport,Dominican Republic
Wiley Post–Will Rogers Memorial Airport,Kentucky
María Montez International Airport,Somalia
Samuels Field,Distrito Federal
Bender Qassim International Airport,Colombia
Brasília International Airport,Yunnan
José Celestino Mutis Airport,Sarawak
Baoshan Yunduan Airport,Hawaii
Sematan Airport,Equatorial Guinea
Bradshaw Army Airfield,Quezon
Altus Air Force Base,Provence-Alpes-Côte d'Azur
La Môle – Saint-Tropez Airport,Maharashtra
Latur Airport,Queensland
Lotus Vale Station Airport,Maryland
St. Mary's County Regional Airport,Ecuador
Cotopaxi International Airport,Nepal
Tenzing-Hillary Airport,Guyana
Lumid Pau Airport,Fiji
Laucala Airport,Namibia
Lüderitz Airport,Slovakia
Boľkovce Airport,Arizona
Luke Air Force Base,Switzerland
Lugano Airport,Punjab
Sahnewal Airport,Honduras
La Unión Airport,Ohio
Cincinnati Municipal Airport,Mississippi
Hesler-Noble Field,Yunnan
Dehong Mangshi Airport,Zambia
Kopiago Airport,Alaska
Point Baker Seaplane Base,Papua New Guinea
Port Clarence Coast Guard Station,Alaska
Yapsiei Airport,Alaska
Kondubol Airport,Papua New Guinea
Kurupung Airport,Papua New Guinea
Kapit Airport,Guyana
Kapal Airport,Sarawak
Kompiam Airport,Papua New Guinea
Kipnuk Airport,Papua New Guinea
Pohang Airport,Alaska
Kalpowar Airport,South Korea
Port Williams Seaplane Base,Queensland
Kempsey Airport,Alaska
Jackpot Airport,New South Wales
Perryville Airport,Nevada
Keperveyem Airport,Alaska
Majors Airport,Madhya Pradesh
Gävle-Sandviken Airport,Papua New Guinea
Gwa Airport,Mississippi
Gwadar International Airport,Colorado
Thornhill Air Base,Schleswig-Holstein
Rajmata Vijaya Raje Scindia Airport,West Virginia
Gnarowein Airport,Ireland
Greenwood–Leflore Airport,Central Kalimantan
Glenwood Springs Municipal Airport,Yemen
Sylt Airport,Angola
Glendale Fokker Field,Gansu
Galway Airport,Chile
Beringin Airport,Colorado
Sayun Airport,Bolivia
Negage Airport,Azerbaijan
Gannan Xiahe Airport,Ecuador
Trenton–Mercer Airport,South Dakota
Britton Municipal Airport,Costa Rica
Tortuguero Airport,Indonesia
Pongtiku Airport,Madagascar
Tsaratanana Airport,Taiwan
Taitung Airport,Morocco
Sania Ramel Airport,Sri Lanka
Tissa Tank Waterdrome,Western Australia
Truscott-Mungalalu Airport,Ecuador
Teniente Coronel Luis a Mantilla International Airport,French Polynesia
Tubuai – Mataura Airport,Tucumán
Teniente General Benjamín Matienzo International Airport,Senegal
Tambacounda Airport,Centre-Val de Loire
Tours Val de Loire Airport,Philippines
Tuguegarao Airport,Saudi Arabia
Turaif Domestic Airport,Ethiopia
Tum Airport,Pakistan
Skive Airport,Denmark
Hélio Wasum Airport,Santa Catarina
São Lourenço do Sul Airport,Rio Grande do Sul
RAF Scampton,England
Santa Rosa Airport,Rio Grande do Sul
Santa Rosa Airport,Bolivia
Searcy Municipal Airport,Arkansas
San Ramón Airport,Bolivia
Alcantarí Airport,Bolivia
San Rafael Airport,California
Achmad Yani International Airport,Indonesia
Sarh Airport,Chad
Temindung Airport,Indonesia
Capitán Germán Quiroga Guardia Airport,Bolivia
Palo Verde Airport,Baja California Sur
Sandringham Station Airport,Queensland
Strahan Airport,Tasmania
Santana Ramos Airport,Colombia
Augustus Downs Airport,Maine
Abu Rudeis Airport,United Arab Emirates
Auxerre – Branches Aerodrome,Papua New Guinea
Augusta State Airport,Papua New Guinea
Abu Dhabi International Airport,Alaska
Aua Island Airport,Marshall Islands
Ambunti Airport,Minnesota
Do Palmar Airport,Sichuan
Cattle Creek Airport,Arizona
New Chitose Airport,New York
Le Castellet Airport,Florida
Chengdu Shuangliu International Airport,North Carolina
Cottonwood Airport,Baja California Sur
Cortland County Airport,South Carolina
Cross City Airport,Colombia
Clinton–Sampson County Airport,Queensland
Ciudad Constitución Airport,Ecuador
Jim Hamilton–L.B. Owens Airport,Piedmont
Camilo Daza International Airport,New South Wales
Caloundra Airport,Oklahoma
Mariscal Lamar International Airport,Colombia
Cuneo International Airport,Philippines
Cudal Airport,Belize
Gimhae International Airport,Colombia
Sri Sathya Sai Airport,New Caledonia
Tres de Mayo Airport,Moscow (ID)
Malabou Airport,Chile
Pullman–Moscow Regional Airport,Croatia
El Mirador Airport,Nicaragua
Pula Airport,Colombia
Puerto Cabezas Airport,Massachusetts
El Embrujo Airport,Rhode Island
Provincetown Municipal Airport,Panama
Theodore Francis Green State Airport,California
El Porvenir Airport,Rondônia
Placerville Airport,Paraná
Shanghai Pudong International Airport,Lefkada
Governador Jorge Teixeira de Oliveira International Airport,Kentucky
Edu Chaves Airport,Ecuador
Victoria International Airport,British Columbia
Lynn Lake Airport,Manitoba
Cowley Airport,Alberta
Swift Current Airport,Saskatchewan
Churchill Airport,Manitoba
CFB Goose Bay,Newfoundland and Labrador
St. John's International Airport,Newfoundland and Labrador
Kapuskasing Airport,Ontario
Armstrong Airport,Ontario
Mont-Joli Airport,Quebec
Toronto Pearson International Airport,Ontario
Cache Creek Airport,Ashcroft
Gore Bay-Manitoulin Airport,Ontario
Yellowknife Airport,Northwest Territories
Salluit Airport,Quebec
RAF Mount Pleasant,Jordan
Pocono Mountains Municipal Airport,Kansas
Mulatupo Airport,Texas
Ma'an Airport,East Timor
McPherson Airport,Papua New Guinea
Mount Pleasant Regional Airport,Montpelier
Maliana Airport,Ukraine
Mabua Airstrip,Papua New Guinea
Edward F. Knapp State Airport,French Guiana
Mariupol International Airport,Iowa
Miyanmin Airport,Western Australia
Maripasoula Airport,Illinois
Mount Pleasant Municipal Airport,Saint Pierre and Miquelon
Mandora Station Airport,Río Negro
Macomb Municipal Airport,Northern Territory
Bata Airport,Victoria
Balesin Airport,Algeria
Bairnsdale Airport,Switzerland
Biskra Airport,Iran
EuroAirport Basel-Mulhouse-Freiburg,Central African Republic
Bishe Kola Air Base,Philippines
Bossangoa Airport,Arizona
Basco Airport,Iraq
Bensbach Airport,Maranhão
Bisbee Municipal Airport,Afghanistan
Basra International Airport,Democratic Republic of the Congo
Balsas Airport,Madagascar
Bost Airport,Alaska
Basankusu Airport,Myanmar
Besakoa Airport,Somalia
Boswell Bay Airport,Cameroon
Pathein Airport,Republic of the Congo
Kenneth Kaunda International Airport,Angola
Luena Airport,Hawaii
Kalaupapa Airport,San Luis
Brigadier Mayor César Raúl Ojeda Airport,Alaska
Cape Lisburne LRRS Airport,Democratic Republic of the Congo
Lusanga Airport,Queensland
New Laura Airport,Queensland
Laura Airport,Indonesia
Karel Sadsuitubun Airport,Indonesia
Syukuran Aminuddin Amir Airport,Luxembourg
Luxembourg Findel Airport,Poland
Lublin Airport,Pays de la Loire
Laval Entrammes Airport,Rio Grande do Sul
Galpões Airport,Alaska
Lime Village Airport,Zambia
Harry Mwanga Nkumbula International Airport,California
Port Bailey Seaplane Base,Chukotka
Akutan Airport,Alaska
Ajmer Kishangarh Airport,Alaska
Kol Airport,Rajasthan
Karara Airport,Papua New Guinea
Qurghonteppa International Airport,Western Australia
Kerang Airport,Tajikistan
Karumba Airport,Victoria
Depati Parbo Airport,Queensland
Kurundi Airport,Indonesia
Kirundo Airport,Northern Territory
Höga Kusten Airport,Burundi
Karasabai Airport,Sollefteå
Kikori Airport,Guyana
Teniente Vidal Airfield,Yakutia
Yagoua Airport,Western Australia
Greeley–Weld County Airport,Sonora
Guayaramerín Airport,Goiás
Heydar Aliyev International Airport,Queensland
José Joaquín de Olmedo International Airport,Arizona
