,airport,location,lat,lon
245,Moose Lake Airport,Manitoba,51.29122475,-80.6106136870039
246,Fort Frances Municipal Airport,Ontario,48.65356595,-93.44405183970974
247,La Grande-4 Airport,Quebec,53.7553182,-73.6758919
248,General Bernardo O'Higgins Airport,Chile,-36.5864981,-72.0397294
249,Lyall Harbour Seaplane Base,British Columbia,48.7984705,-123.2023758
250,Yakutat Airport,Alaska,59.500813550000004,-139.64408083356284
251,Alert Bay Airport,British Columbia,50.5825431,-126.91651160241355
252,Sault Ste. Marie Airport,Ontario,46.4850006,-84.5093994
253,Yangambi Airport,Democratic Republic of the Congo,-2.9814344,23.8222636
254,Yaoundé Airport,Cameroon,-4.3267726,15.3280693
255,Yap International Airport,Federated States of Micronesia,9.49898575,138.08313625016342
256,Maple Bay Seaplane Base,British Columbia,48.803377,-123.5999202
257,La Grande-3 Airport,Quebec,53.5712423,-76.1913824
258,Diébougou Airport,Burkina Faso,10.9488727,-3.2525186
259,Djibo Airport,Liaoning,14.1221595,-1.6280623
260,Xingcheng Airport,Wisconsin,40.5015614,120.65729247445455
261,Grand Geneva Resort Airport,Hubei,42.614912399999994,-88.39123613895154
262,Xiangyang Liuji Airport,Burkina Faso,32.1530454,112.2862666
263,Hamburg Finkenwerder Airport,Burkina Faso,53.5355617,9.832105276365866
264,Gaoua Airport,Angola,10.383453750000001,-3.165570954690658
265,Gorom Gorom Airport,Quebec,14.454266,-0.2182764
266,Xangongo Airport,Sichuan,-16.7516871,14.9660327
267,Kangiqsualujjuaq (Georges River) Airport,Laos,58.7118495,-65.99342300318403
268,Xichang Qingshan Airport,Pará,27.988191649999997,102.18525682629678
269,Xienglom Airport,Kuwait,19.6199582,100.8121238
270,Xinguara Municipal Airport,Inner Mongolia,43.2443242,114.3251664
271,Ahmad al-Jaber Air Base,Guangdong,23.1357694,113.1982688
272,Xilinhot Airport,Shaanxi,43.913908,115.95968557939729
273,Xingning Air Base,Qatar,25.3336984,51.2295295
274,Xi'an Xianyang International Airport,Pakistan,34.4387161,108.7633259
275,Al Udeid Air Base,Burkina Faso,25.116748049999998,51.322327143419656
276,Bowen Airport,Queensland,40.2503233,-91.0734712
277,Konarak Airport,Iran,25.4439418,60.38361874157477
278,Sayaboury Airport,Laos,19.242310850000003,101.70990990145297
279,General Leobardo C. Ruiz International Airport,Zacatecas,22.889419349999997,-102.6899432880201
280,La Araucanía Airport,Chile,-38.6909439,-72.2829406
281,Dalma Airport,United Arab Emirates,24.51105115,52.33512436277246
282,Secunda Airport,South Africa,-26.5221376,29.17113743183058
283,Senggo Airport,Indonesia,-5.6905959,139.3494579276442
284,Bella Bella (Campbell Island) Airport,British Columbia,52.1846257,-128.15724204855366
285,Eastmain River Airport,Quebec,52.2249574,-78.52279354035863
286,Zenag Airport,Papua New Guinea,-5.6816069,144.2489081
287,Zero Airport,Arunachal Pradesh,-17.9176704,31.09878714078309
288,Faro Airport,Yukon,37.017459599999995,-7.973911065722614
289,Fond-du-Lac Airport,Saskatchewan,59.3344002,-107.1819992
290,Fort McPherson Airport,Northwest Territories,67.4075012,-134.8609924
291,Tulita Airport,Northwest Territories,64.90928679999999,-125.56955238647737
292,Fairview Airport,Alberta,38.9561996,-79.7886963
293,Weihai Dashuibo Airport,Shandong,37.18636265,122.22931388376176
294,Weipa Airport,Queensland,-12.6784998,141.9247355
295,Welkom Airport,South Africa,-27.9976561,26.66728957089643
296,Weam Airport,Papua New Guinea,-5.6816069,144.2489081
297,Waghete Airport,Indonesia,-4.06071745,136.28020853065766
298,Wee Waa Airport,New South Wales,-30.0499992,149.4170074
299,Ketchikan Harbor Seaplane Base,Alaska,55.3457782,-131.664201
300,Woodford Aerodrome,England,53.0204784,-1.222852044273003
301,Fianarantsoa Airport,Madagascar,-21.441679,47.111230669174375
302,Northern Aroostook Regional Airport,Maine,47.28602,-68.313088
303,Wagga Wagga Airport,New South Wales,-35.1591438,147.4619174
304,Warangal Airport,Telangana,17.9140552,79.6036086
305,Walgett Airport,New South Wales,-30.0321528,148.12542342678233
306,Shaoyang Wugang Airport,Hunan,26.80553755,110.64094749230681
307,Winchester Regional Airport,Virginia,39.143367749999996,-78.14369087132627
308,Mau Hau Airport,Indonesia,-9.66783205,120.30084438437868
309,Wangaratta Airport,Victoria,-36.41547785,146.3083843550382
310,Forward Operating Base Shank,Afghanistan,33.7680065,66.2385139
311,Beale Air Force Base,California,39.1087605,-121.35668977731362
312,Barranca de Upia Airport,Colombia,4.5728352,-72.9754852
313,Barksdale Air Force Base,Louisiana,32.49713625,-93.61067741888279
314,Barcelonnette – Saint-Pons Airport,Alpes-de-Haute-Provence,44.387177199999996,6.608085545878952
315,Westfield-Barnes Regional Airport,Springfield,42.1605968,-72.71192746340355
316,Loakan Airport,Philippines,16.375373449999998,120.6220749710995
317,Bahrain International Airport,Bahrain,26.27017855,50.63034273819671
318,Buenos Aires Airport,Costa Rica,-33.8597221,-59.4688873
319,Bali Airport,Papua New Guinea,5.8952918,10.0339671
320,Batman Airport,Azerbaijan,37.94464805,41.12252034095771
321,Battle Mountain Airport,Turkey,40.6108335,-116.8744587
322,Basongo Airport,Nevada,-4.3151816,20.4142387
323,Baibara Airport,Democratic Republic of the Congo,-2.9814344,23.8222636
324,Ernesto Cortissoz International Airport,Papua New Guinea,10.888093000000001,-74.77724693920399
325,Victoria River Downs Airport,Northern Territory,-16.4021244,131.0049744
326,Venice Marco Polo Airport,Veneto,45.50353855,12.342579681064803
327,Valcheta Airport,Río Negro,-40.6984755,-66.15553
328,Vichadero Airport,Uruguay,-31.7422857,-54.5897993
